Time: 1618473124.568842 	 Lat:47.46980 	 Long:19.06182 	 Heading: 201.20524 	 Speed:14.95389
Time: 1618473125.568860 	 Lat:47.46974 	 Long:19.06173 	 Heading: 213.92652 	 Speed:14.96611
Time: 1618473126.568893 	 Lat:47.46969 	 Long:19.06162 	 Heading: 213.71523 	 Speed:14.81639
Time: 1618473127.568904 	 Lat:47.46962 	 Long:19.06154 	 Heading: 216.46935 	 Speed:14.50167
Time: 1618473128.568929 	 Lat:47.46957 	 Long:19.06143 	 Heading: 213.80407 	 Speed:14.37639
Time: 1618473129.568947 	 Lat:47.46951 	 Long:19.06133 	 Heading: 208.81406 	 Speed:14.45583
Time: 1618473130.568970 	 Lat:47.46948 	 Long:19.06121 	 Heading: 201.73480 	 Speed:14.18083
Time: 1618473131.569008 	 Lat:47.46944 	 Long:19.06110 	 Heading: 193.97458 	 Speed:14.02806
Time: 1618473132.569046 	 Lat:47.46943 	 Long:19.06097 	 Heading: 188.54553 	 Speed:14.09833
Time: 1618473133.569064 	 Lat:47.46942 	 Long:19.06084 	 Heading: 181.40616 	 Speed:14.24806
Time: 1618473134.569080 	 Lat:47.46942 	 Long:19.06071 	 Heading: 177.89853 	 Speed:14.46806
Time: 1618473135.569101 	 Lat:47.46942 	 Long:19.06058 	 Heading: 176.12518 	 Speed:14.65444
Time: 1618473136.579091 	 Lat:47.46943 	 Long:19.06045 	 Heading: 175.48010 	 Speed:14.92944
Time: 1618473137.579111 	 Lat:47.46944 	 Long:19.06031 	 Heading: 174.76087 	 Speed:15.18611
Time: 1618473138.579133 	 Lat:47.46945 	 Long:19.06018 	 Heading: 173.90716 	 Speed:14.96611
Time: 1618473139.579490 	 Lat:47.46946 	 Long:19.06005 	 Heading: 173.36449 	 Speed:14.39778
Time: 1618473140.588832 	 Lat:47.46947 	 Long:19.05992 	 Heading: 172.38065 	 Speed:13.67056
Time: 1618473141.588981 	 Lat:47.46948 	 Long:19.05981 	 Heading: 172.13070 	 Speed:12.87306
Time: 1618473142.589090 	 Lat:47.46949 	 Long:19.05971 	 Heading: 171.14078 	 Speed:11.56833
Time: 1618473143.589178 	 Lat:47.46949 	 Long:19.05962 	 Heading: 171.66263 	 Speed:9.76556
Time: 1618473144.589231 	 Lat:47.46950 	 Long:19.05956 	 Heading: 171.25267 	 Speed:7.18667
Time: 1618473145.589572 	 Lat:47.46950 	 Long:19.05951 	 Heading: 170.98365 	 Speed:4.71472
Time: 1618473146.589647 	 Lat:47.46951 	 Long:19.05948 	 Heading: 170.68449 	 Speed:4.19528
Time: 1618473147.589735 	 Lat:47.46951 	 Long:19.05943 	 Heading: 172.28662 	 Speed:4.98056
Time: 1618473148.589777 	 Lat:47.46951 	 Long:19.05938 	 Heading: 171.86808 	 Speed:5.86972
Time: 1618473149.589784 	 Lat:47.46952 	 Long:19.05932 	 Heading: 171.40185 	 Speed:6.53889
Time: 1618473150.589824 	 Lat:47.46953 	 Long:19.05925 	 Heading: 170.97202 	 Speed:7.53500
Time: 1618473151.589827 	 Lat:47.46953 	 Long:19.05918 	 Heading: 172.22261 	 Speed:8.26222
Time: 1618473152.589844 	 Lat:47.46954 	 Long:19.05910 	 Heading: 171.43567 	 Speed:9.19722
Time: 1618473153.590384 	 Lat:47.46955 	 Long:19.05901 	 Heading: 170.56722 	 Speed:10.14444
Time: 1618473154.590385 	 Lat:47.46955 	 Long:19.05891 	 Heading: 172.19620 	 Speed:10.95417
Time: 1618473155.590402 	 Lat:47.46956 	 Long:19.05881 	 Heading: 171.57205 	 Speed:10.94194
Time: 1618473156.590465 	 Lat:47.46956 	 Long:19.05871 	 Heading: 172.86009 	 Speed:11.71806
Time: 1618473157.599462 	 Lat:47.46957 	 Long:19.05860 	 Heading: 171.96386 	 Speed:12.45750
Time: 1618473158.599484 	 Lat:47.46957 	 Long:19.05848 	 Heading: 173.24158 	 Speed:13.10528
Time: 1618473159.599505 	 Lat:47.46958 	 Long:19.05836 	 Heading: 172.65869 	 Speed:13.62472
Time: 1618473160.599527 	 Lat:47.46959 	 Long:19.05823 	 Heading: 173.17937 	 Speed:14.19000
Time: 1618473161.599545 	 Lat:47.46960 	 Long:19.05810 	 Heading: 172.33891 	 Speed:14.73389
Time: 1618473162.599569 	 Lat:47.46960 	 Long:19.05796 	 Heading: 172.93912 	 Speed:15.08222
Time: 1618473163.599585 	 Lat:47.46962 	 Long:19.05783 	 Heading: 170.95160 	 Speed:15.48556
Time: 1618473164.599609 	 Lat:47.46963 	 Long:19.05769 	 Heading: 172.29869 	 Speed:15.61389
Time: 1618473165.599626 	 Lat:47.46964 	 Long:19.05755 	 Heading: 171.20193 	 Speed:15.38167
Time: 1618473166.599654 	 Lat:47.46965 	 Long:19.05742 	 Heading: 172.44813 	 Speed:14.98750
Time: 1618473167.599676 	 Lat:47.46966 	 Long:19.05729 	 Heading: 171.61813 	 Speed:14.55056
Time: 1618473168.599696 	 Lat:47.46967 	 Long:19.05716 	 Heading: 171.97363 	 Speed:14.15639
Time: 1618473169.599713 	 Lat:47.46968 	 Long:19.05704 	 Heading: 171.00454 	 Speed:13.59111
Time: 1618473170.599735 	 Lat:47.46969 	 Long:19.05692 	 Heading: 170.87476 	 Speed:12.90667
Time: 1618473171.599755 	 Lat:47.46971 	 Long:19.05682 	 Heading: 166.82254 	 Speed:12.35361
Time: 1618473172.599848 	 Lat:47.46972 	 Long:19.05672 	 Heading: 166.33074 	 Speed:11.11611
Time: 1618473173.599881 	 Lat:47.46974 	 Long:19.05664 	 Heading: 162.93613 	 Speed:8.81528
Time: 1618473174.599885 	 Lat:47.46975 	 Long:19.05659 	 Heading: 152.63711 	 Speed:6.93306
Time: 1618473175.599906 	 Lat:47.46978 	 Long:19.05655 	 Heading: 136.75841 	 Speed:6.62139
Time: 1618473176.599923 	 Lat:47.46981 	 Long:19.05652 	 Heading: 114.10364 	 Speed:6.19361
Time: 1618473177.599946 	 Lat:47.46985 	 Long:19.05651 	 Heading: 96.78982 	 Speed:7.37306
Time: 1618473178.599968 	 Lat:47.46990 	 Long:19.05651 	 Heading: 93.54115 	 Speed:8.43639
Time: 1618473179.599987 	 Lat:47.46997 	 Long:19.05651 	 Heading: 93.11408 	 Speed:9.98250
Time: 1618473180.600011 	 Lat:47.47001 	 Long:19.05653 	 Heading: 92.66178 	 Speed:10.57222
Time: 1618473181.600016 	 Lat:47.47008 	 Long:19.05652 	 Heading: 92.35921 	 Speed:10.60889
Time: 1618473182.600035 	 Lat:47.47010 	 Long:19.05658 	 Heading: 92.07807 	 Speed:9.85722
Time: 1618473183.600058 	 Lat:47.47015 	 Long:19.05657 	 Heading: 91.96024 	 Speed:8.26222
Time: 1618473184.600076 	 Lat:47.47020 	 Long:19.05657 	 Heading: 92.30326 	 Speed:8.01778
Time: 1618473185.600097 	 Lat:47.47018 	 Long:19.05666 	 Heading: 92.53856 	 Speed:8.25000
Time: 1618473186.610087 	 Lat:47.47024 	 Long:19.05666 	 Heading: 90.24390 	 Speed:9.37139
Time: 1618473187.610107 	 Lat:47.47030 	 Long:19.05666 	 Heading: 88.76716 	 Speed:10.35528
Time: 1618473188.610130 	 Lat:47.47027 	 Long:19.05681 	 Heading: 65.76303 	 Speed:10.97861
Time: 1618473189.610150 	 Lat:47.47034 	 Long:19.05685 	 Heading: 65.11569 	 Speed:11.34833
Time: 1618473190.610173 	 Lat:47.47032 	 Long:19.05700 	 Heading: 52.83434 	 Speed:11.39417
Time: 1618473191.610195 	 Lat:47.47038 	 Long:19.05707 	 Heading: 51.98813 	 Speed:11.86778
Time: 1618473192.610211 	 Lat:47.47040 	 Long:19.05720 	 Heading: 46.49477 	 Speed:12.07556
Time: 1618473193.610229 	 Lat:47.47045 	 Long:19.05728 	 Heading: 45.45657 	 Speed:12.13361
Time: 1618473194.610247 	 Lat:47.47048 	 Long:19.05737 	 Heading: 44.21599 	 Speed:11.86778
